TIPO,AREA,DATA,EMPRESA,LINHA,"Soma de PASSAGEIROS PAGANTES EM DINHEIRO

(A)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","Soma de PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","Soma de PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","Soma de PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","Soma de PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","Soma de PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","Soma de PASSAGEIROS COM GRATUIDADE

(L)","Soma de PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","Soma de TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,800010 - TERM LAPA/PCA RAMOS," 14,798 "," 36,804 "," 6,063 "," 1,170 ", 50 ," 27,312 ", 840 ," 6,657 ", 677 ," 94,371 "," 70,525 "," 32,343 ", 413 ," 197,652 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,830010 - TERM PIRITUBA/TERM LAPA," 1,446 "," 4,076 ", 560 , 106 , 23 ," 3,406 ", 137 ," 1,447 ", 90 ," 11,291 "," 10,725 "," 3,295 ", 63 ," 25,374 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,853810 - VILA IARA/PAISSANDU," 2,889 "," 9,116 ", 824 , 215 , 4 ," 7,397 ", 245 , 335 , 59 ," 21,084 "," 8,087 "," 6,166 ", 47 ," 35,384 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,853821 - FREGUESIA DO O/PÇA PEDRO CORAZ, 84 , 277 , 33 , 8 , -   , 225 , 20 , -   , 1 , 648 , 273 , 368 , 2 ," 1,291 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO," 19,786 "," 51,526 "," 4,996 ", 984 , 30 ," 41,609 "," 1,141 "," 3,286 ", 428 ," 123,786 "," 49,906 "," 36,550 ", 396 ," 210,638 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA," 7,592 "," 22,548 "," 2,846 ", 517 , 31 ," 18,608 ", 387 ," 5,509 ", 229 ," 58,267 "," 28,594 "," 19,938 ", 199 ," 106,998 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA," 13,029 "," 33,897 "," 3,807 ", 793 , 22 ," 27,208 ", 773 ," 8,817 ", 389 ," 88,735 "," 50,378 "," 27,310 ", 341 ," 166,764 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA, 137 ," 1,074 ", 76 , 37 , -   ," 1,057 ", 2 , -   , 1 ," 2,384 ", 483 , 304 , 1 ," 3,172 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO," 1,598 "," 5,825 ", 754 , 116 , -   ," 4,172 ", 102 , 6 , 99 ," 12,672 "," 8,891 "," 5,732 ", 49 ," 27,344 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA," 17,347 "," 47,207 "," 5,920 "," 1,586 ", 30 ," 40,110 ", 928 ," 4,451 ", 432 ," 118,011 "," 59,541 "," 24,875 ", 268 ," 202,695 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,917M31 - MORRO GRANDE/METRO ANA ROSA," 1,048 "," 4,175 ", 393 , 94 , 2 ," 4,482 ", 132 , 116 , 16 ," 10,458 "," 4,189 "," 1,275 ", 15 ," 15,937 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA," 13,574 "," 35,094 "," 4,705 ", 541 , 19 ," 36,934 "," 1,984 "," 12,765 ", 663 ," 106,279 "," 99,448 "," 21,307 ", 463 ," 227,497 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA," 18,921 "," 47,706 "," 10,102 "," 1,260 ", 58 ," 68,071 "," 1,111 "," 55,120 "," 2,074 "," 204,423 "," 148,637 "," 31,101 ", 769 ," 384,930 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,N10511 - TERM CACHOEIRINHA/TERM LAPA, 974 ," 1,528 ", 346 , 5 , -   ," 1,016 ", 47 , 101 , 37 ," 4,054 "," 4,476 ", 761 , 22 ," 9,313 "
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,N10611 - T PQ D PEDRO /MET BARRA FUNDA, 26 , 43 , 7 , -   , -   , 47 , 1 , 6 , -   , 130 , 52 , 13 , 1 , 196 
CONCESSAO,AREA 1,2016-01-01,GATO PRETO,N14311 - METRO BARRA FUNDA/MORRO GRANDE, 320 , 495 , 105 , 4 , -   , 712 , 25 , 237 , 15 ," 1,913 ", 607 , 228 , 5 ," 2,753 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,129F10 - CONEX PETRON PORT/M BARRA FUND," 20,210 "," 52,421 "," 10,590 "," 1,689 ", 97 ," 53,248 "," 1,994 "," 35,584 "," 1,499 "," 177,332 "," 181,022 "," 49,687 ", 957 ," 408,998 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,129F41 - CON PETRON PORT/PCA DO CORREIO, 981 ," 4,319 ", 647 , 117 , 5 ," 4,950 ", 212 , 209 , 65 ," 11,505 "," 10,319 "," 1,550 ", 30 ," 23,404 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,189L10 - VILA LORIO/LAPA," 13,304 "," 48,430 "," 10,427 ", 964 , 31 ," 41,303 "," 4,002 "," 26,866 "," 1,758 "," 147,085 "," 235,391 "," 44,034 ", 856 ," 427,366 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,199D10 - VILA LORIO/TERMINAL PINHEIROS," 21,173 "," 73,256 "," 9,232 "," 1,634 ", 79 ," 53,493 "," 1,236 "," 11,114 ", 542 ," 171,759 "," 110,011 "," 31,303 ", 463 ," 313,536 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,209P01 - CACHOEIRINHA/TERM PINHEIROS," 10,342 "," 30,472 "," 5,371 ", 742 , 24 ," 33,548 ", 982 ," 10,152 "," 1,020 "," 92,653 "," 70,727 "," 11,944 ", 317 ," 175,641 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800010 - TERM LAPA/PCA RAMOS," 14,448 "," 36,805 "," 5,988 "," 1,108 ", 42 ," 27,218 "," 1,064 "," 6,636 ", 596 ," 93,905 "," 71,975 "," 32,323 ", 438 ," 198,641 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800110 - VILA PIAUI/TERM LAPA," 7,444 "," 11,938 ", 959 , 246 , 10 ," 12,533 ", 218 ," 4,430 ", 187 ," 37,965 "," 19,775 "," 6,719 ", 167 ," 64,626 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800210 - DOMITILA/TERM LAPA," 7,969 "," 19,238 "," 1,829 ", 449 , 9 ," 12,144 ", 287 ," 5,413 ", 146 ," 47,484 "," 25,808 "," 9,275 ", 284 ," 82,851 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800310 - V REMEDIOS/TERM LAPA," 11,107 "," 18,918 "," 1,576 ", 439 , 15 ," 18,298 ", 628 ," 8,776 ", 291 ," 60,048 "," 33,594 "," 9,439 ", 196 ," 103,277 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800410 - SANTA MONICA/TERM LAPA," 17,252 "," 33,041 "," 2,605 ", 905 , 10 ," 29,746 ", 947 ," 7,788 ", 498 ," 92,792 "," 37,579 "," 16,442 ", 385 ," 147,198 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800610 - JD DONARIA/TERM PIRITUBA," 7,329 "," 30,148 "," 3,229 ", 461 , 13 ," 22,225 ", 607 ," 2,640 ", 630 ," 67,282 "," 41,362 "," 16,759 ", 396 ," 125,799 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800710 - VILA CLARICE/TERM PIRITUBA," 8,180 "," 22,293 "," 1,896 ", 628 , 10 ," 19,401 ", 548 ," 8,448 ", 545 ," 61,949 "," 32,366 "," 11,098 ", 434 ," 105,847 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800810 - STA MONICA/TERMPIRITUBA," 12,127 "," 32,471 "," 2,932 ", 730 , 12 ," 24,965 ", 797 ," 7,541 ", 561 ," 82,136 "," 48,708 "," 16,868 ", 462 ," 148,174 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800910 - CID DABRIL III/TERMPIRITUBA," 3,423 "," 7,571 ", 738 , 212 , 12 ," 6,091 ", 134 ," 1,168 ", 171 ," 19,520 "," 9,774 "," 4,189 ", 113 ," 33,596 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,800931 - CID DABRIL III/TERMPIRITUBA," 8,149 "," 18,226 "," 1,804 ", 486 , 2 ," 17,394 ", 212 ," 5,303 ", 537 ," 52,113 "," 22,663 "," 13,309 ", 334 ," 88,419 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,804010 - SOL NASCENTE/LAPA," 21,347 "," 50,451 "," 3,250 "," 1,020 ", 33 ," 54,773 "," 1,228 "," 9,973 ", 506 ," 142,581 "," 60,407 "," 18,093 ", 805 ," 221,886 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,804310 - VILA NOVA ESPERANÇA/LAPA," 4,859 "," 10,232 ", 653 , 265 , 5 ," 8,618 ", 239 , 616 , 72 ," 25,559 "," 9,439 "," 6,011 ", 113 ," 41,122 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,804710 - JARAGUA/LAPA," 22,948 "," 42,582 "," 2,456 ", 860 , 26 ," 49,718 ", 882 ," 5,826 ", 428 ," 125,726 "," 60,193 "," 19,888 ", 670 ," 206,477 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,804731 - VILA AURORA/LAPA, 650 ," 1,499 ", 130 , 28 , -   ," 2,345 ", 17 , 234 , 16 ," 4,919 "," 2,388 ", 468 , 20 ," 7,795 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,804741 - JARAGUA/METRO VILA MADALENA," 6,484 "," 11,840 ", 891 , 373 , 1 ," 11,740 ", 166 ," 2,714 ", 89 ," 34,298 "," 10,619 "," 3,890 ", 100 ," 48,907 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,804751 - RECANTO DOS HUMILDES/LAPA, 686 ," 2,049 ", 122 , 29 , -   ," 2,629 ", 33 , 253 , 10 ," 5,811 "," 2,112 ", 415 , 22 ," 8,360 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,805010 - PQ MORRO DOCE/LAPA," 15,289 "," 29,652 "," 2,193 ", 611 , 36 ," 28,495 ", 602 ," 8,237 ", 502 ," 85,617 "," 41,711 "," 12,363 ", 394 ," 140,085 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,805021 - ANHANGUERA/LAPA, 369 ," 2,331 ", 129 , 28 , 4 ," 2,483 ", 37 , 1 , 11 ," 5,393 ", 413 , 315 , 9 ," 6,130 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,805031 - PQ MORRO DOCE/LAPA," 7,504 "," 16,008 ", 756 , 251 , 9 ," 18,173 ", 245 ," 1,709 ", 67 ," 44,722 "," 17,428 "," 4,870 ", 205 ," 67,225 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,805032 - MORRO DOCE/LAPA, 236 , 392 , 31 , 18 , -   , 509 , 9 , 161 , 9 ," 1,365 "," 1,140 ", 134 , 4 ," 2,643 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,805510 - PERUS/LAPA," 26,501 "," 47,244 "," 3,643 ", 907 , 20 ," 58,393 "," 1,020 "," 24,575 ", 782 ," 163,085 "," 77,535 "," 23,604 ", 746 ," 264,970 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,805551 - PERUS/BARRA FUNDA," 15,419 "," 29,161 "," 2,108 ", 551 , 22 ," 35,833 ", 526 ," 11,063 ", 561 ," 95,244 "," 31,688 "," 12,880 ", 355 ," 140,167 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,806010 - VILA PIAUI/LAPA," 14,464 "," 23,580 "," 1,939 ", 648 , 24 ," 21,184 ", 280 ," 5,813 ", 346 ," 68,278 "," 28,821 "," 11,226 ", 212 ," 108,537 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,806210 - PQ S DOMINGOS/LAPA," 3,961 "," 6,951 ", 437 , 183 , 3 ," 6,099 ", 122 , 793 , 38 ," 18,587 "," 7,165 "," 4,609 ", 72 ," 30,433 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,806510 - VILA CLARICE/LAPA," 3,071 "," 5,840 ", 480 , 193 , 7 ," 5,755 ", 99 ," 1,656 ", 76 ," 17,177 "," 5,990 "," 4,623 ", 66 ," 27,856 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,810010 - TERMPIRITUBA/TERM LAPA," 13,001 "," 40,184 "," 4,647 "," 1,223 ", 35 ," 32,710 "," 1,891 "," 9,269 ", 523 ," 103,483 "," 87,896 "," 23,355 ", 695 ," 215,429 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,820010 - TERM PIRITUBA/TERMPIRITUBA," 5,561 "," 13,642 "," 1,567 ", 316 , 12 ," 10,562 ", 368 ," 4,075 ", 238 ," 36,341 "," 29,367 "," 14,366 ", 217 ," 80,291 "
CONCESSAO,AREA 1,2016-01-01,SANTA BRIGIDA,821510 - JD PAULISTANO/PCA DO CORREIO," 14,303 "," 37,597 "," 4,302 ", 677 , 21 ," 31,569 "," 1,031 "," 1,464 ", 545 ," 91,509 "," 53,591 "," 24,010 ", 262 ," 169,372 "
